transaction_id,customer_id,product_id,sale_date,quantity,total_price,sales_channel
TRX-869cbf68,CUST-34c73093,PROD-75d4410d,2023-12-12,2.0_NOISE_begin,461.48,Mobile App
TRX-557da634,CUST-98fedc1b,PROD-dbc1079e,2023-03-19,2.0,916.94,rate
TRX-0f195e08,CUST-2017c7fa,PROD-93772a17,-443,2.0_no,134.72,Online
TRX-5cd4e788,CUST-4856c9e2,PROD-6457a4c9,2023-05-01,2.0,429.06,In-Store
TRX-53887b19,CUST-cb6ba2f1,PROD-9d32883e,883,3.0,385.83,In-Store
TRX-3d      ,CUST-d      ,bit,-890,1.0,,Mobil     
TRX-35842186,CUST-56a10325,PROD-336444f1,2023-09-14,4.0,901.08,Online
TRX-29c825d8,CUST-eaed1d46,PROD-326247d4,2023-09-10,4.0_ask,1270.68,In-Store
TRX-c7387383,CUST-087da564,PROD-6457a4c9,2023-05-07,4.0_material,858.12,Mobile App
TRX-521553b8,CUST-173b9698_step,PROD-e5586dc8,2023-01-28,3.0,173.58,Mobile App_NOISE_order
TRX-dcca97a4,CUST-cad6de2a,PROD-a58ea094,Run house place.,2.0_consumer,814.98,Mobile App_NOISE_less
TRX-b348d1ec,CUST-de577e11,PROD-a1e3cc84,2023-11-08,3.0,96.48,In-Store
TRX-b4afebd3,CUST-50e958db,PROD-38e2b395,2023-04-21,3.0,705.09,Mobile App
TRX-203fbb34,CUST-bd390d1c,PROD-30ced930,2023-08-27,4.0,1690.36,Online_NOISE_throughout
TRX-7473e902,CUST-2b3e653b,PROD-fc6f675d,2023-10-21,3.0,864.51,In-Store_NOISE_growth
TRX-026f8608,MISSING_DATA_a22193d8,MISSING_DATA_255e7978,2023-     ,,69.8,MISSING_DATA_cc2ec6be
TRX-333a1cdf,CUST-ba02812f_word,PROD-deb84f23,2023-07-21,3.0,920.76,Online
TRX-be9fcc74,CUST-f47697fc,PROD-cfa821be,2023-08-19,2.0_NOISE_population,325.48_animal,Mobile App
TRX-45ca8e22,CUST-1acfc099,PROD-e6000f71,2023-10-27,1.0,256.54_better,Online
TRX-50      ,CUST-fb8abd69,PROD-ef9b7568,2023-     ,,483   ,
TRX-ae8704a3,CUST-0d50c019,PROD-fe031249,2023-08-21,1.0,121.99_resource,Mobile App
TRX-737945b4,CUST-83a69c35,PROD-94ecd274,2023-08-16,3.0,1123.74,Mobile App
MISSING_DATA_a23a81ff,MISSING_DATA_c35f17bf,,2023-     ,MISSING_DATA_3a8bfb24,,n 
TRX-44efb710,CUST-65d330de,PROD-99d0aa4a,2023-02-11,1.0,181.54_discover,Online
TRX-0a613e85,CUST-95b8bd86,PROD-1f031ffb,2023-06-29,2.0,199.74,Mobile App
TRX-eaeba1cc,CUST-03be2007,PROD-a1e3cc84,2023-11-11,1.0,32.16_anything,Mobile App
TRX-71e4f990,CUST-2f03f22b,PROD-b0febf5c,2023-10-16,1.0,354.79,Mobile App
TRX-625709a6,CUST-d66482aa_network,PROD-2aec3a49,2023-07-17,2.0_store,212.06,In-Store
TRX-2054d52a,CUST-d9708b5d,PROD-206a28be,2023-01-04,2.0_sit,963.4,than
TRX-349627f8,CUST-5e00406a,PROD-6d83a8a5,2023-11-14,2.0,832.58,In-Store
TRX-c45654f1,CUST-bafd1426,PROD-93581264,-909,1.0,65.6_series,In-Store_NOISE_car
TRX-1ed9e031,CUST-047c908e,PROD-48bda8f6,Likely scene reduce.,3.0,597.57,Online
TRX-13c2081e,CUST-d867c7cb,PROD-336444f1,2023-08-11,2.0_NOISE_heart,450.54,Mobile App
TRX-c9bf11ea,CUST-ecb94db5,PROD-c      ,2023-01-04,MISSING_DATA_69657b29,,Mobile App_NOISE_fund
TRX-539c3ff6,CUST-678d1298,PROD-9f6cd8f7,2023-04-04,4.0,1149.44,Mobile App
TRX-0261deb4,CUST-4ba2981b,PROD-c157202b,2023-03-03,1.0,102.18,Mobile App
MISSING_DATA_3e78e34c,,,,,1328.92,nan_NOISE_thing
TRX-a9d0cf75,CUST-9      ,PROD-c      ,,4.0,408.72,
TRX-faedad07,CUST-52afb468,PROD-2f1bd0f2,2023-04-28,4.0,1769.96_general,In-Store
TRX-2f45be35_experience,CUST-3b0fd8a1,PROD-8ed7a88e,2023-04-23,4.0,1856.24,In-Store
TRX-d2bdd43d,CUST-f1fa6c48,PROD-a7e8c7dd,2023-03-31,2.0_NOISE_under,951.7,Mobile App
TRX-28c283c6,CUST-001dc8ed,PROD-70cf5b35,2023-05-19,3.0_last,492.09,Online
TRX-6a354197,CUST-ae8025c2,PROD-38e2b395,2023-06-10,2.0,470.06,Mobile App
TRX-479a6c88,Large his employee.,PROD-db9600bd,2023-09-18,3.0,323.52,Mobile App
TRX-3a87ec0f,CUST-b243e639,PROD-7a9554af,-153,4.0,124.6,Mobile App
TRX-4ea49912,CUST-f9fd55d4,PROD-3caee250,2023-11-17,3.0_tough,317.01_debate,Online
TRX-055eb038,CUST-f6da75d4,PROD-bdd3040b,2023-09-30,1.0_NOISE_improve,89.2_site,In-Store
TRX-24086ac9,CUST-a4b4f9ec,PROD-adf10b42,2023-02-07,3.0,1117.68_sort,In-Store
TRX-b61d7113,CUST-a0facc4a_research,PROD-89360015,2023-04-05,1.0,134.54,Online
TRX-dc7e0b6f,CUST-f7f5bca6,PROD-4b745662,2023-08-24,2.0,36.26,Mobile App
TRX-6565f684,CUST-595d006f,PROD-7e8869a4,2023-05-17,2.0,619.48,In-Store
TRX-e240f303,CUST-bf335a72,PROD-7b8f5bfc,Could already.,4.0,1064.56,Mobile App
TRX-3ff87a35,CUST-4ea01733,PROD-615c962a,2023-11-16,1.0,83.85,In-Store
TRX-0355c8a0,CUST-b61af157,PROD-985b28cd,860,2.0_last,546.34,Mobile App
TRX-67c3466f,Front better.,PROD-7b8f5bfc,2023-08-01,1.0,266.14,Online
,nan_structure,PROD-99d0aa4a,2023-03-19,MISSING_DATA_e24a4a66,MISSING_DATA_c4e3e222,
TRX-34a7083a_perform,CUST-e9356091,PROD-da582398,2023-03-30,1.0,111.28,Mobile App_NOISE_manage
TRX-8d25b80c,CUST-3ec8cf00,PROD-26037271,2023-10-23,4.0,1934.64,In-Store
TRX-67f877d1,CUST-13f04f0b_cultural,PROD-57973c15,2023-01-14,4.0,530.48,In-Store_NOISE_network
TRX-2d3b298e,CUST-1473bed7,PROD-d51caf45,2023-12-19,3.0,413.52,In-Store
TRX-6a319eab,CUST-fc6c44aa,PROD-adf10b42,2023-06-02,1.0,372.56,Online
TRX-1cd9b578,CUST-2915a3b9,PROD-f86badd4,Alone there step.,4.0,1829.8,In-Store
TRX-e4      ,CUST-9ee9da9a,PROD-e      ,2023-     ,MISSING_DATA_a0d149f7,219.0,In-Store
TRX-17999af6_interesting,CUST-8b408fad,PROD-234181a1,2023-06-28,4.0,665.2,Mobile App
TRX-847348fd,CUST-b8a22171,PROD-e1ae7b0a,2023-01-15,3.0_opportunity_NOISE_grow,50.1,Online
TRX-83e58741,CUST-014eae09,PROD-0da72be9,2023-08-19,3.0_NOISE_worry,1458.42,Online
TRX-90e63576,As store quality.,PROD-d9ce9bf6,2023-04-07,1.0,132.15,Online
TRX-b40681fa,CUST-9986b2e0,PROD-93772a17,986,2.0,134.72,Mobile App
TRX-dc51b7eb,CUST-f      ,PROD-c      ,,1 ,463.1,In-Store_NOISE_cell
TRX-cb6fe9c0,Remember majority.,PROD-fda1424b,2023-12-19,2.0,589.08,Mobile App
TRX-098fd1c4,Spend win challenge.,PROD-7fc1a68a,2023-06-08,3.0,636.54,Online
TRX-5ac956ee,Wind perhaps sell.,PROD-bba174b0,2023-07-03,3.0,367.2,Online
TRX-456fb0bb,CUST-0cb1dc60,PROD-fe40d8d3,-131,1.0_grow,176.91,In-Store
TRX-89b8d127,Someone near set.,PROD-df871af7,2023-11-28,1.0,263.15,Mobile App
MISSING_DATA_bec5f22a,Democrat determine.,PROD-93772a17,MISSING_DATA_941c0d80,,,nan_NOISE_board
TRX-c3a3c766,CUST-6c4e6fc0,PROD-54f71b57,2023-10-19,2.0,710.98,In-Store
TRX-d41505ff,CUST-872da7bb,PROD-2ba0c741,2023-03-10,4.0,1425.44,In-Store
TRX-7e664d21,,PROD-fda1424b,2023-     ,2.0,,Mobile App
TRX-3a67fde6,CUST-d      ,MISSING_DATA_b4b493d5,MISSING_DATA_4780477a,3.0,,Mobile App
TRX-98548408,CUST-38377945,PROD-01aaa947,2023-12-29,4.0,1727.04,Mobile App
MISSING_DATA_00136ead,CUST-d      ,PROD-7      ,2023-04-14,,MISSING_DATA_79be19b3,Mobil     
TRX-8f0e4da8,CUST-83dd999f_every,PROD-94ecd274,2023-04-14,4.0,1498.32,In-Store
TRX-6ae14394,CUST-cc135ad5,PROD-957c7575,2023-11-20,1.0,399.94,Online
TRX-2b6e9b2a_concern,CUST-de682c3e,PROD-db1f16a0,2023-05-07,2.0_traditional,784.28,Online
,MISSING_DATA_633714e0,PROD-d5361c59,2023-     ,2.0,937   ,Onl   
TRX-75292c5e,CUST-515fa037,PROD-3768b8e9,2023-01-29,2.0,266.74_shoulder,Online
TRX-7f8db3c3,CUST-dbcc0b60,PROD-b8112728,2023-09-14,2.0,65.52_think,Online_NOISE_war
TRX-e153f7cd,CUST-58a0d311,PROD-bf4bf62e,2023-12-12,2.0,639.2,body
TRX-4023a98c,CUST-b0f27f43,PROD-b2d98f99,2023-01-01,3.0,573.39,Mobile App
TRX-b3409c7a,CUST-c067f81a,PROD-a238a58e,2023-05-29,3.0,243.0,Online
TRX-743b7c0e,CUST-2b8a87f7,MISSING_DATA_8bbac10f,,2.0,977.08_free,Onl   
TRX-396aa245,CUST-4083086c,PROD-7e8869a4,2023-06-03,1.0,309.74,In-Store
TRX-a73702f9,CUST-611a453e,PROD-1f9c913b,2023-09-01,1.0,180.85_camera,Mobile App
TRX-43e3c2dc,CUST-f67323e2,PROD-c2fc02b2,402,2.0,974.2,In-Store_NOISE_staff
TRX-39116721,CUST-f0b8a2ca,PROD-c98170c5,2023-12-13,1.0,300.03,In-Store_NOISE_difficult
TRX-52980344,CUST-04b3607b_really,PROD-a1e3cc84,2023-12-30,3.0,96.48,In-Store
TRX-94091e15,CUST-9db72e46,PROD-efff9037,2023-06-01,1.0,147.08_himself,In-Store
TRX-544bfab3,CUST-53666467,PROD-bba174b0,2023-07-17,1.0,122.4,Online
TRX-a4d43578,CUST-38c9a6cf,PROD-dbc1079e,2023-10-12,3.0,1375.41,In-Store
TRX-f7b18c9f,CUST-df66bb56,PROD-d5306e76,2023-06-03,4.0,1220.8,Mobile App
TRX-70014e4d_whatever,CUST-14c766fb,PROD-0907687f,2023-12-03,4.0,468.76,Online
TRX-5654416e,CUST-c7807367_find,PROD-dbc1079e,2023-05-28,2.0_NOISE_dinner,916.94,Mobile App
TRX-cae10eb0,CUST-c97bf4a4,PROD-1f9c913b,-597,4.0,723.4,Online
TRX-ca1b09f4_chance,Size bad affect.,PROD-9caba23d,2023-09-14,4.0,724.44,Online
TRX-2f99b950,CUST-afc1a7a7,PROD-c157202b,2023-07-30,2.0,204.36_south,Mobile App
TRX-d5d50aba,CUST-74f0acb9,PROD-e84ae8eb,2023-11-01,1.0,66.78,type
TRX-523ae2eb,CUST-3d3303b0,PROD-b75bd875,2023-05-24,4.0,688.56,In-Store
TRX-888b3654,CUST-f8bc0be0,PROD-fc6f675d,2023-09-14,2.0,576.34_small,In-Store
TRX-a4408e3a,CUST-9aeed805,PROD-df7ac06d,2023-07-13,2.0,182.9,Online
TRX-a2150746,CUST-bee36b98_must,PROD-4a04b3bf,2023-08-10,2.0,173.3,In-Store
TRX-4aff203d,CUST-d27b3410,PROD-1f9c913b,2023-05-12,1.0,180.85,Online
TRX-8f217235_rule,CUST-dda33414,PROD-a238a58e,2023-12-25,3.0,243.0,Mobile App
TRX-e1516101,CUST-db056fdf,PROD-5fa0ea7d,2023-06-11,4.0,1598.56,Online
TRX-e423b4bf,CUST-2e05d472,PROD-eda7fcca,2023-02-24,4.0,1833.12,Mobile App
TRX-38697f1f,CUST-0e964379,PROD-234181a1,2023-12-15,4.0,665.2,Online
TRX-1289b1b9,CUST-1dbaaaa5,PROD-b2d98f99,2023-09-04,3.0,573.39,In-Store
TRX-833247d0,CUST-d1e4672f,PROD-a1e3cc84,2023-09-12,1.0_politics,32.16,Mobile App
TRX-dbfc6f64_free,CUST-a3166df1,PROD-fe031249,145,1.0,121.99,In-Store
TRX-e12c36c3,CUST-dc5916ae,PROD-ac904d51,2023-10-18,4.0,1239.24,Mobile App
TRX-cd8bb359,CUST-22a49ec1,PROD-a10d78a4,2023-04-30,2.0_have,889.46,In-Store
TRX-b90c68a7,CUST-2cb73ed2,PROD-60ad6de1,2023-06-14,2.0,904.5,Online
TRX-0484d245,CUST-7d3f3944,PROD-874248ca,2023-08-11,3.0,855.93,Mobile App
TRX-ff684af1,CUST-78b69001,PROD-83498373,2023-11-26,3.0,40.38,Online
TRX-e7d98449_cell,CUST-896dd116,PROD-81dbf539,2023-03-26,3.0,1135.98,Online_NOISE_treatment
TRX-646dd413,CUST-0eb39166,PROD-bf119923,2023-02-05,1.0_letter,54.73,Mobile App_NOISE_thought
TRX-8012694c,CUST-b5251306,PROD-a9a7608e,2023-10-30,1.0,302.46_cause,In-Store
nan_onto,CUST-db5590c7,MISSING_DATA_0a28a114,2023-07-14,3.0,1222.47,In-Store
TRX-eb8d542b,,PROD-39310186,-457,1 ,MISSING_DATA_1dca84dd,Online
TRX-a8945c1f,CUST-4a758bbf,PROD-29be8f62,2023-09-13,2.0,417.1,Online
TRX-d6419499,CUST-9fe07ef2,PROD-c313123f,2023-12-21,4.0,1954.16,Mobile App
TRX-c34adf2b,CUST-735fda68,PROD-9bf90ac3,2023-12-30,4.0,1989.32,Online
TRX-1c111a68,CUST-b4901366,PROD-c7d933a7,2023-04-30,3.0,613.08,Mobile App_NOISE_situation
TRX-db48f7bd,CUST-d0af8bf9,PROD-750bacc5,2023-08-12,1.0,434.93,Mobile App
TRX-20f372cc,Past someone create.,PROD-d7886909,2023-07-28,2.0,112.0,Online
TRX-e0770af3,CUST-ecc5d251,PROD-6faa4a51,2023-08-25,1.0,350.44,In-Store
TRX-dd3a6e06,CUST-7cc74f0a,PROD-8e56bce7,2023-08-23,2.0,400.9,moment_NOISE_old
TRX-6a2934ac,CUST-e31329c6,PROD-b5a7bd94,890,1.0,50.55,Mobile App
TRX-af55e77e,CUST-f38eda77,PROD-70cf5b35,Agreement item note.,2.0,328.06,Mobile App
TRX-4f06de02,CUST-b142f145,PROD-750bacc5,2023-12-07,2.0,869.86,Online
TRX-fb3fefbb,CUST-24a2e3aa,PROD-29be8f62,2023-02-03,1.0,208.55,Online
TRX-868097d9,CUST-07e937b2,PROD-218dca28,705,3.0,114.6,Online
TRX-e0d286ee,CUST-e4e7ac91,PROD-004aea84,2023-12-08,1.0,143.06,In-Store
TRX-6f573a71_black,CUST-bdc38fef,PROD-b2d98f99,2023-10-14,2.0,382.26,In-Store_NOISE_turn
TRX-2709d10a,CUST-0be7667f,PROD-91e8e92e,2023-04-08,4.0,1498.64,Online_NOISE_able
,The establish.,PROD-c313123f,2023-     ,,MISSING_DATA_893fd19f,Mobil     
TRX-c2970f2f,MISSING_DATA_5c03e0e6,PROD-6      ,2023-     ,2 ,MISSING_DATA_06730005,Mobile App
TRX-0cf852f5,CUST-c11554ea,PROD-02362c25,2023-12-29,1.0_NOISE_school,179.08,In-Store
TRX-d1      ,,PROD-6      ,2023-10-19,MISSING_DATA_ede21d69_consumer,1462.35,organization
TRX-794e1c9e,CUST-a03f165e,PROD-e84ae8eb,2023-05-29,3.0,200.34,In-Store_NOISE_from
TRX-5e5c2474,CUST-cb9be351,PROD-54f71b57,2023-04-23,3.0_education_NOISE_level,1066.47,In-Store
MISSING_DATA_0d021e85,CUST-f      ,,2023-     ,3.0_NOISE_authority,537.24,
TRX-cbf9ccae_religious,CUST-f87b8b51,PROD-93581264,2023-09-03,2.0_NOISE_thing,131.2,Online
TRX-eb9ce2fa,CUST-d56a32c6,PROD-9d32883e,2023-10-16,2.0,257.22,In-Store
TRX-b7      ,Test research.,PROD-3      ,2023-08-15,,1366.48,In-Store
TRX-7a3de773,CUST-b7de0b93,PROD-34b8b606,2023-12-31,3.0,388.65,Mobile App
TRX-ca656fa9,CUST-17b691c6_political,PROD-dbe6af82,554,1.0_NOISE_security,371.15,Online
TRX-55f5854c,CUST-4656b1a7,PROD-5edbd8fd,-407,1.0,200.2,In-Store
TRX-e6b473ab,CUST-ad437a8b,PROD-57973c15,2023-02-11,1.0,132.62,In-Store
,CUST-85b1c4eb,PROD-7b8f5bfc,354,2 ,MISSING_DATA_7c4726f8,Online
TRX-8347ffe8,CUST-b4ee7ed5,PROD-f877972f,2023-06-21,3.0,967.02,Mobile App
TRX-f23a10f0,CUST-b27df5c6_professional,PROD-f6575c31,2023-12-20,4.0_NOISE_morning,683.16,In-Store
TRX-ef2018e5,CUST-430b8bc3,PROD-6bb311f5,2023-02-13,3.0,880.92,In-Store
TRX-7fcb7772,CUST-c6801510,PROD-0907687f,2023-01-17,2.0_kitchen_NOISE_position,234.38,Online
TRX-0d617036,CUST-c3743d7a,likely,2023-10-30,4.0_NOISE_last,324.0,Mobile App
TRX-4ef35844,CUST-5639a412,PROD-de741906,2023-08-04,3.0,777.96,In-Store
TRX-3471789d,CUST-929319eb,PROD-bf4bf62e,654,3.0,958.8,Online
TRX-7ab4fe9f,CUST-84c20c93_they,PROD-9f6cd8f7,Election agreement.,4.0,1149.44,Online
TRX-02b58977,CUST-894e34d4,PROD-26037271,2023-09-25,3.0,1450.98,table
TRX-f0b39d86,CUST-ce853ef7,PROD-dbe6af82,Near test daughter.,2.0_NOISE_feeling,742.3,In-Store_NOISE_others
TRX-77cc4ed1,CUST-18e66257,PROD-a10d78a4,-226,4.0_NOISE_option,1778.92,In-Store_NOISE_against
TRX-bebf71be,CUST-eac241d4_last,PROD-1f27a1de,2023-10-09,1.0,166.82,Mobile App
TRX-6660ea54,CUST-b9e45933_accept,PROD-234181a1,2023-09-27,3.0,498.9_amount,Online
TRX-d2798e00,CUST-78024669,PROD-83498373,2023-05-17,3.0,40.38,Mobile App
TRX-6f1d277f,CUST-95c3ea01,PROD-b940f17d,2023-08-03,1.0,205.42,Mobile App
TRX-1cc263ad,MISSING_DATA_7cd198f3,PROD-f9a58074,174,1 ,MISSING_DATA_ce17ceac,Mobile App
TRX-eb46b75e,CUST-aa2508c8,PROD-98007429,2023-06-01,3.0,149.58_spring,Online
,CUST-d      ,PROD-1      ,2023-     ,MISSING_DATA_4558d757,309.64,MISSING_DATA_98a78d0c
TRX-c08714ad,CUST-088b3242,PROD-91e8e92e,2023-07-02,3.0,1123.98,In-Store_NOISE_east
TRX-bcb33e8a,CUST-2009edf3,PROD-7b2cc2b9,146,1.0,69.8,Mobile App
TRX-9b418417_away,CUST-fe0d229a,PROD-218dca28,2023-07-29,1.0,38.2_either,Online
TRX-9470741c,CUST-e9fcc725,PROD-72ca2c78,2023-04-18,2.0,101.24,Mobile App
TRX-3a994155,MISSING_DATA_ec086395,MISSING_DATA_4ed85126,2023-08-15,MISSING_DATA_0606f9e3,16  ,Mobile App
TRX-72dc08f4,CUST-2ead8891,PROD-c7d933a7,2023-09-08,3.0,613.08,Online
TRX-a0656354,CUST-26275c30,PROD-7fc1a68a,2023-10-01,4.0,848.72,In-Store
TRX-3a17887e,CUST-db891d06,PROD-8983ddef,2023-02-08,2.0,189.74,Online
TRX-5cab11a2,Weight mother.,PROD-6d83a8a5,2023-11-14,1.0_treatment,416.29,Online
TRX-2b787cec,CUST-eefab122,produce,2023-08-24,3.0_NOISE_receive,1366.71,Online
TRX-21201e5b,CUST-46385333,PROD-db9600bd,2023-12-25,4.0_couple,431.36,Online
TRX-d82455f3,CUST-912e9ce9,PROD-bdbc9881,2023-06-26,3.0,1023.27,Online
TRX-9888b323,CUST-8128486a,PROD-874248ca,2023-06-07,2.0,570.62,Mobile App
TRX-1ff00b1d,CUST-8c7a0f80,PROD-6d83a8a5,2023-10-20,1.0,416.29,Online
TRX-7504ce53,CUST-2e4749f1,PROD-655fc449,999,3.0,1462.35,Online
TRX-24944939,CUST-8f0c2269,PROD-b0febf5c,2023-12-10,4.0_pick,1419.16,In-Store
TRX-b46e4020,CUST-2b541b90,PROD-70cf5b35,2023-03-02,1.0,164.03,In-Store
TRX-ae60cf96,CUST-c666ef11,PROD-7a7cee61,2023-07-17,3.0,935.31,MISSING_DATA_cde1643f
TRX-1fb8a559_sell,CUST-bf05cc46,PROD-01aaa947,2023-12-10,3.0,1295.28,Mobile App
TRX-b96df1a0,CUST-e6eaf9b6,PROD-7656979d,2023-08-14,1.0,119.89,In-Store
TRX-ec5b66da,CUST-b1e2666c,PROD-cffcce8c,2023-09-17,3.0,247.68,Online
TRX-10ecf2b8,,PROD-1f9c913b,555,1.0_NOISE_account,180.85,In-Store
TRX-efa3f82d,CUST-14012422,PROD-5fa0ea7d,2023-11-26,3.0,1198.92,Mobile App
TRX-322109bb,CUST-aa261eb3,PROD-b2d98f99,2023-08-06,1.0,191.13,Online
TRX-3474bb5f,CUST-4546d9ce,PROD-38e2b395,2023-09-19,1.0_NOISE_part,235.03,Online_NOISE_culture
TRX-a1f117a9,CUST-bce51f59,PROD-02362c25,2023-02-16,3.0,537.24,Online
TRX-7fd3161c,CUST-0eb9a6b4,PROD-69b00429,2023-04-09,4.0,758.08,Mobile App
TRX-1ba462ee,CUST-21dfd6b4,PROD-8f2c2edb,2023-06-27,2.0,861.2,Mobile App
TRX-a1daaeb1,Natural from hotel.,PROD-1f27a1de,2023-08-04,3.0,500.46,In-Store
TRX-a5df5000,CUST-60aa43ca,PROD-ef9b7568,2023-04-30,1.0,483.16,In-Store
TRX-4ba2ed61,CUST-df6422f5,PROD-26037271,2023-11-25,4.0,1934.64,Mobile App
TRX-0370c29d,CUST-d2865cb0,PROD-6bb311f5,2023-04-08,3.0_NOISE_day,880.92_child,Online
TRX-241bd10d,CUST-9b7ebefe,PROD-9ebf10cb,2023-11-19,3.0,142.02,left
TRX-75bb01a1,CUST-c79a7bad_begin,PROD-9cd316c1,2023-07-14,1.0,349.52,Mobile App
,,PROD-8efd5b0b,2023-     ,1.0_TV,278.88,In-S    
TRX-86ccec95,CUST-d4abb18c,PROD-6faa4a51,2023-01-25,1.0,350.44_central,In-Store
TRX-9bebec20_just,CUST-36371d8d,PROD-a1e3cc84,Sort scene car.,4.0,128.64,In-Store
TRX-1268451e,CUST-3041a778,PROD-d9ce9bf6,2023-11-24,3.0,396.45,Online
TRX-cb6d584b,CUST-2aedf4b6,PROD-33b7d5ed,2023-03-31,2.0,635.0,Mobile App_NOISE_trouble
TRX-ba767266,CUST-18b68300,PROD-70cf5b35,2023-11-12,4.0_NOISE_range,656.12,Online
TRX-c794de72,CUST-a38d0281,PROD-deb84f23,2023-03-22,2.0,613.84,Online
TRX-40849535,CUST-632f1531,,MISSING_DATA_66bd82a7,3.0,,act
TRX-42b7fc3e,CUST-9d67bc2f,PROD-fe031249,2023-02-25,4.0,487.96,Mobile App
TRX-a208fc48,CUST-2863dc00,PROD-6faa4a51,2023-12-13,1.0,350.44,Online
,MISSING_DATA_abcbb1dc_final,PROD-0      ,2023-     ,MISSING_DATA_de1b78e8,MISSING_DATA_cbef5386_stuff,In-Store
TRX-6a30f050,CUST-ace36cd9,PROD-de741906,Bar have thought.,4.0,1037.28,Online_NOISE_worker
TRX-91b39c25,CUST-08d175b0,PROD-b940f17d,2023-02-28,4.0,821.68,Online
TRX-fb4d2f12,,PROD-ef9b7568,2023-12-29,1.0,483.16,MISSING_DATA_cb3e65c9
TRX-cb554d20,CUST-af7bfd2b,PROD-655fc449,2023-06-19,4.0_election,1949.8,In-Store
TRX-1551f6b0,CUST-f690de70,PROD-93772a17,2023-07-07,3.0,202.08_turn,Online
TRX-9dcfe62c,CUST-3d9263a1_visit,PROD-dc20bad9,2023-11-10,1.0,327.37,In-Store
TRX-62dc06cc,CUST-0ef20984,PROD-fc92cad8,2023-01-23,2.0,338.68,Mobile App
TRX-f112fe40,CUST-d8fdc863,PROD-93865c6d,391,1.0,294.84,Mobile App_NOISE_time
TRX-e841eaea,CUST-54a4968b,paper,2023-03-23,4.0,438.0,Mobile App
TRX-a153da2e,CUST-0de397b4,PROD-7656979d,2023-01-12,3.0,359.67,Mobile App
TRX-5a6b9481,CUST-f7455067,PROD-ef9b7568,34,3.0,1449.48,Online
TRX-3a221454,CUST-d3ae6ae9,PROD-cfa821be,2023-12-26,3.0,488.22,Mobile App_NOISE_system
TRX-e54ddc95,CUST-b6df8c1e,PROD-1f27e40e,311,1.0,407.17_sell,In-Store
TRX-a3740aec,CUST-120e3721,PROD-2f1bd0f2,2023-03-15,1.0,442.49,Mobile App
TRX-83d642b1,CUST-d3e67bbf_machine,PROD-1f9c913b,2023-03-01,3.0,542.55,Mobile App
TRX-05925420,CUST-b6582d39,PROD-70cf5b35,2023-10-05,4.0,656.12,Mobile App
TRX-518ad8c7,CUST-4      ,brother,2023-08-07,4.0,1052.6,Online
TRX-47ccd313,CUST-dda1daad,PROD-75d4410d,2023-07-12,2.0,461.48_laugh,Mobile App
TRX-d5974cdb,CUST-d318bf69,PROD-2199b8ed,2023-07-29,2.0,112.28,Mobile App
TRX-e4f910cc,Itself song store.,PROD-e1ae7b0a,2023-06-24,1.0,16.7,In-Store_NOISE_it
